date,nacara,psanchezcerro,puchaca
8-May-09,,76.17,10.652
9-May-09,,67.75,9.999
10-May-09,,51.75,9.375
11-May-09,,50.5,8.779
12-May-09,,50.21,7.406
13-May-09,,47.67,7.151
14-May-09,,45.25,6.659
15-May-09,,41.63,5.748
16-May-09,,43.25,5.748
17-May-09,,47.96,5.748
18-May-09,,53.17,5.748
19-May-09,,50.33,8.779
20-May-09,,52.25,8.491
21-May-09,,81.5,7.406
22-May-09,,,6.423
23-May-09,,49.75,5.535
24-May-09,,42.71,5.327
25-May-09,,41.92,5.125
26-May-09,,40.98,5.748
27-May-09,,55.25,5.748
28-May-09,,49.29,5.535
29-May-09,,87.25,5.125
30-May-09,,88,4.738
31-May-09,,59.98,4.552
1-Jun-09,,76.06,7.164
2-Jun-09,,68.63,4.824
3-Jun-09,,70.5,4.517
4-Jun-09,,71,3.959
5-Jun-09,,69.5,3.959
6-Jun-09,,69.62,3.47
7-Jun-09,,70.88,2.848
8-Jun-09,,73.27,3.042
9-Jun-09,,78.75,3.249
10-Jun-09,,81.92,2.848
11-Jun-09,,76.92,2.496
12-Jun-09,,35.76,45.325
13-Jun-09,,37.4,7.651
14-Jun-09,,71.04,4.824
15-Jun-09,,69.13,3.249
16-Jun-09,,66,3.249
17-Jun-09,,62.38,4.824
18-Jun-09,,60,3.707
19-Jun-09,,58.83,2.848
20-Jun-09,,65.63,2.666
21-Jun-09,,71.75,5.504
22-Jun-09,,71.71,4.517
23-Jun-09,,60.25,3.707
24-Jun-09,,55.21,3.249
25-Jun-09,,48.83,3.042
26-Jun-09,,48.29,3.249
27-Jun-09,,48,3.707
28-Jun-09,,60.88,4.517
29-Jun-09,,65.17,3.959
30-Jun-09,,58,2.666
1-Jul-09,,46.17,6.076
2-Jul-09,,60.33,4.964
3-Jul-09,,61.08,3.481
4-Jul-09,,63.92,2.74
5-Jul-09,,56.46,2.369
6-Jul-09,,43.88,1.999
7-Jul-09,,49.83,4.964
8-Jul-09,,49.46,3.481
9-Jul-09,,52.46,5.334
10-Jul-09,,50.63,10.523
11-Jul-09,,39.54,6.076
12-Jul-09,,40.4,4.222
13-Jul-09,,37.9,4.222
14-Jul-09,,39.21,3.852
15-Jul-09,,45.88,4.222
16-Jul-09,,48.67,3.852
17-Jul-09,,44.96,2.369
18-Jul-09,,32.68,1.999
19-Jul-09,,33.05,1.999
20-Jul-09,,32.39,1.628
21-Jul-09,,28.93,2.369
22-Jul-09,,23.5,1.999
23-Jul-09,,15.25,1.628
24-Jul-09,,5.63,1.257
25-Jul-09,,7.38,9.041
26-Jul-09,,14.63,7.188
27-Jul-09,,23.63,16.454
28-Jul-09,,27.38,9.782
29-Jul-09,,27,4.964
30-Jul-09,,24.17,3.481
31-Jul-09,,19.5,2.369
1-Aug-09,,12.5,5.052
2-Aug-09,,12.63,4.526
3-Aug-09,,8.71,4.044
4-Aug-09,,26.25,3.818
5-Aug-09,,30.75,3.603
6-Aug-09,,21.62,3.397
7-Aug-09,,8.25,3.201
8-Aug-09,,9.12,2.503
9-Aug-09,,11.88,2.063
10-Aug-09,,12.63,1.806
11-Aug-09,,7.54,1.806
12-Aug-09,,10.75,4.279
13-Aug-09,,17,2.665
14-Aug-09,,18.75,2.063
15-Aug-09,,20.25,1.931
16-Aug-09,,20.63,1.687
17-Aug-09,,18.75,1.468
18-Aug-09,,20.88,1.182
19-Aug-09,,24.75,1.367
20-Aug-09,,24,0.942
21-Aug-09,,25.5,0.742
22-Aug-09,,27,5.333
23-Aug-09,,27.63,2.835
24-Aug-09,,26.5,2.063
25-Aug-09,,16.92,1.687
26-Aug-09,,12.85,1.575
27-Aug-09,,14,1.367
28-Aug-09,,13.06,1.182
29-Aug-09,,13.65,1.182
30-Aug-09,,9,1.272
31-Aug-09,,,1.367
1-Sep-09,,7.06,1.1
2-Sep-09,,4.59,0.87
3-Sep-09,,5.25,0.942
4-Sep-09,,5.75,1.479
5-Sep-09,,2.29,1.1
6-Sep-09,,2.08,1.1
7-Sep-09,,1.04,1.018
8-Sep-09,,0,0.802
9-Sep-09,,0,0.739
10-Sep-09,,0,0.68
11-Sep-09,,1.04,16.243
12-Sep-09,,2.37,10.742
13-Sep-09,,4.98,2.237
14-Sep-09,,3.06,1.186
15-Sep-09,,0.81,0.87
16-Sep-09,,0,0.802
17-Sep-09,,0.625,0.68
18-Sep-09,,1.4583,0.68
19-Sep-09,,1.25,0.572
20-Sep-09,,2.08,0.624
21-Sep-09,,2.29,0.572
22-Sep-09,,2.0833,1.186
23-Sep-09,,1.25,1.1
24-Sep-09,,1.04,0.624
25-Sep-09,,1.46,0.572
26-Sep-09,,1.46,1.827
27-Sep-09,,1.25,1.479
28-Sep-09,,0,1.479
29-Sep-09,,0,1.186
30-Sep-09,,0,2.237
1-Oct-09,,1.25,2.604
2-Oct-09,,3.96,1.666
3-Oct-09,,4.21,0.938
4-Oct-09,,1.04,0.787
5-Oct-09,,0.21,0.719
6-Oct-09,,0,0.719
7-Oct-09,,0.42,0.597
8-Oct-09,,0,1.023
9-Oct-09,,0.83,2.423
10-Oct-09,,0.63,1.666
11-Oct-09,,0.21,1.423
12-Oct-09,,0,1.313
13-Oct-09,,0.21,1.209
14-Oct-09,,0.21,1.113
15-Oct-09,,0.21,0.938
16-Oct-09,,0.4167,0.719
17-Oct-09,,0,0.719
18-Oct-09,,2.08,0.719
19-Oct-09,,2.29,0.656
20-Oct-09,,0,2.604
21-Oct-09,,0.21,1.209
22-Oct-09,,0.83,2.795
23-Oct-09,,0.63,4.198
24-Oct-09,,0.21,4.479
25-Oct-09,,0,1.666
26-Oct-09,,0,1.209
27-Oct-09,,0,2.253
28-Oct-09,,0.21,1.666
29-Oct-09,,0,1.209
30-Oct-09,,0.42,1.023
31-Oct-09,,1.46,3.212
1-Nov-09,,2.5,2.007
2-Nov-09,,0.42,1.226
3-Nov-09,,0,0.976
4-Nov-09,,0,0.976
5-Nov-09,,0.83,0.833
6-Nov-09,,11.58,0.833
7-Nov-09,,4.83,0.708
8-Nov-09,,2.29,0.501
9-Nov-09,,1.46,0.381
10-Nov-09,,0.63,0.381
11-Nov-09,,0.21,0.284
12-Nov-09,,0,0.284
13-Nov-09,,0.21,1.137
14-Nov-09,,0.62,0.597
15-Nov-09,,0.21,0.458
16-Nov-09,,0,0.418
17-Nov-09,,0,0.418
18-Nov-09,,0,0.418
19-Nov-09,,0.42,0.381
20-Nov-09,,0.83,0.381
21-Nov-09,,0.42,0.346
22-Nov-09,,1.04,0.346
23-Nov-09,,0.62,2.444
24-Nov-09,,0,8.875
25-Nov-09,,0,5.577
26-Nov-09,,0,3.336
27-Nov-09,,0,3.336
28-Nov-09,,0,5.282
29-Nov-09,,0.42,3.983
30-Nov-09,,0,6.894
1-Dec-09,,0,5.166
2-Dec-09,,0.63,4.168
3-Dec-09,,0,3.317
4-Dec-09,,0,3.014
5-Dec-09,,0,2.871
6-Dec-09,,0,2.733
7-Dec-09,,0,2.346
8-Dec-09,,0,2.346
9-Dec-09,,1.83,2
10-Dec-09,,0,1.791
11-Dec-09,,0,1.508
12-Dec-09,,0,1.693
13-Dec-09,,0.625,4.954
14-Dec-09,,0.42,5.384
15-Dec-09,,0.63,4.355
16-Dec-09,,1.46,3.014
17-Dec-09,,1.46,2.871
18-Dec-09,,1.46,3.811
19-Dec-09,,2.08,10.209
20-Dec-09,,0.63,13.315
21-Dec-09,,2.5,7.38
22-Dec-09,,0,19.177
23-Dec-09,,0.83,8.25
24-Dec-09,,1.88,5.384
25-Dec-09,,2.229,4.355
26-Dec-09,,2.5,4.168
27-Dec-09,,0,3.986
28-Dec-09,,0,3.811
29-Dec-09,,,3.986
30-Dec-09,,1.88,3.163
31-Dec-09,,1.88,3.317
1-Jan-10,,1.04,2.839
2-Jan-10,,0.21,2.839
3-Jan-10,,1.67,2.401
4-Jan-10,,2.08,2.693
5-Jan-10,,1.46,3.276
6-Jan-10,,1.04,2.693
7-Jan-10,,2.5,2.109
8-Jan-10,,1.25,4.297
9-Jan-10,,1.25,4.005
10-Jan-10,,2.29,4.297
11-Jan-10,,4.63,4.589
12-Jan-10,,7,7.944
13-Jan-10,,10.79,5.902
14-Jan-10,,11.92,5.027
15-Jan-10,,15.44,4.005
16-Jan-10,,23.29,3.86
17-Jan-10,,22.29,3.568
18-Jan-10,,20.5,5.61
19-Jan-10,,18.71,5.318
20-Jan-10,,16.83,4.589
21-Jan-10,,14.92,4.005
22-Jan-10,,7.08,3.714
23-Jan-10,,4.58,3.568
24-Jan-10,,4.54,3.276
25-Jan-10,,3.12,2.839
26-Jan-10,,0,5.756
27-Jan-10,,1.54,4.589
28-Jan-10,,,4.005
29-Jan-10,,,3.714
30-Jan-10,,,3.13
31-Jan-10,,1.04,3.422
1-Feb-10,,0.21,4.456
2-Feb-10,,0.83,3.954
3-Feb-10,,2.29,3.205
4-Feb-10,,2.5,6.911
5-Feb-10,,0,6.45
6-Feb-10,,16.25,5.798
7-Feb-10,,279.54,39.712
8-Feb-10,,150.08,27.202
9-Feb-10,,105.14,22.108
10-Feb-10,,287.75,20.072
11-Feb-10,,183.33,15.553
12-Feb-10,,141.75,9.861
13-Feb-10,,119,7.645
14-Feb-10,,100.92,7.15
15-Feb-10,,89.75,6.227
16-Feb-10,,75,26.6
17-Feb-10,,86.08,14.742
18-Feb-10,,94.38,10.477
19-Feb-10,,82.79,9.563
20-Feb-10,,71.88,8.163
21-Feb-10,,57.58,13.208
22-Feb-10,,53.88,8.704
23-Feb-10,,50.04,7.645
24-Feb-10,,68.7,34.459
25-Feb-10,,140.88,13.208
26-Feb-10,,203.58,15.969
27-Feb-10,,185.33,14.742
28-Feb-10,,158,23.178
1-Mar-10,,148.08,13.603
2-Mar-10,,109.58,12.398
3-Mar-10,,91.63,11.02
4-Mar-10,,86.79,10.503
5-Mar-10,,79.75,9.469
6-Mar-10,,75.63,8.091
7-Mar-10,,74.88,7.747
8-Mar-10,,69.25,7.747
9-Mar-10,,53.38,6.886
10-Mar-10,,41.46,7.575
11-Mar-10,,46,7.402
12-Mar-10,,81.42,6.886
13-Mar-10,,333.54,19.115
14-Mar-10,,172.42,14.809
15-Mar-10,,126.71,8.953
16-Mar-10,,141.21,9.814
17-Mar-10,,138.79,8.264
18-Mar-10,,134.54,8.436
19-Mar-10,,125.25,7.747
20-Mar-10,,109.25,9.642
21-Mar-10,,92.83,8.608
22-Mar-10,,162.33,7.575
23-Mar-10,,167.29,13.431
24-Mar-10,,157.08,9.986
25-Mar-10,,133.88,9.469
26-Mar-10,,124.67,8.78
27-Mar-10,,120.38,9.986
28-Mar-10,,101.67,9.297
29-Mar-10,,91.17,8.78
30-Mar-10,,117.21,9.297
31-Mar-10,,153.42,14.637
1-Apr-10,,221.67,29.796
2-Apr-10,,246.88,26.305
3-Apr-10,,200.25,25.607
4-Apr-10,,154.58,23.512
5-Apr-10,,213.35,49.349
6-Apr-10,,184.25,35.732
7-Apr-10,,161.25,20.718
8-Apr-10,,142.42,17.227
9-Apr-10,,125.92,15.132
10-Apr-10,,114.58,12.688
11-Apr-10,,113,10.942
12-Apr-10,,103.25,10.593
13-Apr-10,,116.29,10.593
14-Apr-10,,104.77,12.338
15-Apr-10,,92.25,11.64
16-Apr-10,,83.54,9.545
17-Apr-10,,74.33,8.847
18-Apr-10,,72,8.149
19-Apr-10,,61.54,18.274
20-Apr-10,,56.67,15.481
21-Apr-10,,55.29,13.735
22-Apr-10,,50.75,11.64
23-Apr-10,,48.13,8.498
24-Apr-10,,48.33,8.498
25-Apr-10,,48.67,9.196
26-Apr-10,,42.5,11.291
27-Apr-10,,35.25,25.956
28-Apr-10,,,20.369
29-Apr-10,,,11.989
30-Apr-10,,,26.654
1-May-10,,40.75,23.82
2-May-10,,49.67,15.214
3-May-10,,54.33,9.999
4-May-10,,54.33,9.375
5-May-10,,59.75,7.668
6-May-10,,57.88,7.406
7-May-10,,56.58,7.151
8-May-10,,58.67,7.406
9-May-10,,64.88,6.659
10-May-10,,62.42,8.491
11-May-10,,61.88,8.779
12-May-10,,56.33,6.902
